IND,POP,TEMP,SIDE,Wing,Spot,Ratio
S42,SAPPORO,16,G,2117400.0,105167.5,0.049668225181826765
S44,SAPPORO,16,D,1986789.0,91740.0,0.04617500902209545
S44,SAPPORO,16,G,2005491.0,82456.0,0.04111511844231662
S05,SAPPORO,22,D,1607394.5,78543.5,0.04886386011648043
S05,SAPPORO,22,G,1616715.0,78794.5,0.04873740888159014
S08,SAPPORO,22,G,1580669.0,76988.5,0.04870627563392462
S08,SAPPORO,22,D,1567213.5,78763.5,0.05025703262510181
S17,SAPPORO,22,D,1453283.0,76916.5,0.05292603023636828
S17,SAPPORO,22,G,1472402.0,73537.0,0.0499435616088541
S20,SAPPORO,22,G,1551373.0,68553.0,0.04418859938905731
S20,SAPPORO,22,D,1569343.0,79188.0,0.05045933234480926
S24,SAPPORO,22,D,1522426.0,66577.5,0.04373118956192288
S24,SAPPORO,22,G,1555778.5,83294.5,0.053538791029699925
S29,SAPPORO,22,D,1615123.5,73244.5,0.04534916370172312
S29,SAPPORO,22,G,1601984.5,72855.5,0.04547828022056393
S33,SAPPORO,22,D,1606138.5,78185.5,0.048679176795774465
S33,SAPPORO,22,G,1596388.0,84809.5,0.05312586914960524
S35,SAPPORO,22,D,1544657.0,74094.0,0.04796793074449538
S35,SAPPORO,22,G,1541757.0,64152.5,0.041609994311684655
S36,SAPPORO,22,D,1728554.0,76172.0,0.04406689059178944
S36,SAPPORO,22,G,1736849.0,81238.0,0.04677320826393083
S40,SAPPORO,22,D,1520162.0,69845.0,0.04594576104388874
S40,SAPPORO,22,G,1520745.0,63268.0,0.04160329312277864
S42,SAPPORO,22,D,1628967.5,83349.0,0.05116676667889323
S42,SAPPORO,22,G,1620701.0,82841.0,0.051114301774355664
S44,SAPPORO,22,D,1713675.0,55283.5,0.03226020102995025
S44,SAPPORO,22,G,1699748.0,64788.5,0.03811653256835719
S05,SAPPORO,28,D,1192536.5,57605.0,0.04830460115895824
S05,SAPPORO,28,G,1209002.0,48562.5,0.040167427349168984
S06,SAPPORO,28,D,1126111.5,65247.5,0.05794053253163652
S06,SAPPORO,28,G,1131570.5,57407.0,0.05073214616323066
S08,SAPPORO,28,D,1098086.0,44713.0,0.04071903293548957
S08,SAPPORO,28,G,1101028.5,29430.5,0.026730007443040757
S14,SAPPORO,28,D,1177142.5,63308.0,0.05378108427824159
S14,SAPPORO,28,G,1200898.0,54981.5,0.045783655231335214
S17,SAPPORO,28,D,1021254.0,50764.5,0.04970800603963363
S17,SAPPORO,28,G,1030010.0,47067.0,0.04569567285754507
S20,SAPPORO,28,D,1177731.0,46233.5,0.039256417636964636
S20,SAPPORO,28,G,1145978.5,54580.0,0.047627420584243074
S24,SAPPORO,28,D,1253299.0,47740.0,0.03809146899502832
S24,SAPPORO,28,G,1248180.5,47297.0,0.03789275669664764
S28,SAPPORO,28,D,1217611.0,68234.5,0.05603965470088559
S28,SAPPORO,28,G,1230321.5,58855.5,0.047837496134140546
S29,SAPPORO,28,D,1171609.5,57128.5,0.04876070055765167
S29,SAPPORO,28,G,1155622.0,50449.0,0.04365527828303719
S35,SAPPORO,28,D,1098458.5,33419.5,0.030423998721845202
S35,SAPPORO,28,G,1101693.0,41361.5,0.03754358065268636
S36,SAPPORO,28,D,1301507.0,68286.0,0.052466871096352154
S36,SAPPORO,28,G,1286788.0,61879.5,0.04808834089220602
S37,SAPPORO,28,G,1128904.0,42687.5,0.03781322415369243
S37,SAPPORO,28,D,1133261.0,35531.0,0.031352883404617296
S40,SAPPORO,28,D,1187767.0,53431.0,0.044984411925908026
S40,SAPPORO,28,G,1164534.5,56004.5,0.04809174824790506
S42,SAPPORO,28,D,1217997.5,53649.0,0.04404688843778415
S42,SAPPORO,28,G,1209003.5,55919.5,0.04625255427300252
S44,SAPPORO,28,D,1308047.0,54378.5,0.041572282953135475
S44,SAPPORO,28,G,1294233.0,46633.5,0.036031765532172334
So05,SOKOL,16,D,2077713.0,85486.0,0.04114427738576021
So05,SOKOL,16,G,2075481.5,89579.0,0.04316058707340923
So06,SOKOL,16,D,2043367.5,105732.5,0.05174424081815924
So06,SOKOL,16,G,2060511.5,97551.0,0.04734309903147835
So13,SOKOL,16,D,2203999.5,106789.0,0.048452370338559515
So13,SOKOL,16,G,2195196.0,108994.5,0.04965137509361351
So23,SOKOL,16,D,1868480.0,91021.5,0.04871419549580407
So23,SOKOL,16,G,1875351.5,84077.5,0.04483292865364173
So24,SOKOL,16,D,2142874.5,95194.5,0.04442374016770464
So24,SOKOL,16,G,2134098.5,95797.0,0.044888743420231074
So27,SOKOL,16,D,2122370.0,101092.5,0.04763189264831297
So27,SOKOL,16,G,2068367.5,90852.5,0.04392473774607269
So28,SOKOL,16,D,2159177.5,97601.5,0.04520309238124239
So28,SOKOL,16,G,2131787.5,97890.5,0.04591944553572999
So29,SOKOL,16,G,2027785.0,92956.0,0.04584115179863743
So29,SOKOL,16,D,2023043.5,92460.5,0.045703663811480076
So31,SOKOL,16,D,2249603.5,102437.5,0.045535802198031786
So31,SOKOL,16,G,2252632.0,83350.5,0.03700138327076948
So42,SOKOL,16,D,2063236.5,99909.5,0.04842367804175624
So42,SOKOL,16,G,2080364.0,94296.0,0.04532668321505275
So01,SOKOL,22,D,1372329.5,69997.5,0.05100633630625881
So01,SOKOL,22,G,1372644.0,69589.0,0.05069704890707277
So05,SOKOL,22,D,1411349.0,72828.5,0.05160204881995878
So05,SOKOL,22,G,1405190.5,62858.5,0.044733080674826654
So06,SOKOL,22,D,1595724.5,86844.0,0.05442292826863284
So06,SOKOL,22,G,1624655.0,69572.5,0.04282293779294681
So07,SOKOL,22,D,1307398.5,57006.5,0.04360300245105069
So07,SOKOL,22,G,1298569.5,57927.5,0.04460870211413405
So08,SOKOL,22,D,1540888.0,83115.0,0.05393967634247265
So08,SOKOL,22,G,1540974.0,80937.5,0.052523598710945155
So13,SOKOL,22,D,1344465.5,68120.5,0.05066734698659058
So13,SOKOL,22,G,1413310.0,65779.5,0.0465428674530004
So23,SOKOL,22,D,1495163.0,72860.0,0.04873047286483146
So23,SOKOL,22,G,1511679.5,63405.5,0.041943745350783684
So24,SOKOL,22,D,1518098.5,67531.5,0.044484267654569185
So24,SOKOL,22,G,1528114.0,63081.5,0.041280624351324575
So29,SOKOL,22,D,1631909.0,86403.5,0.05294627335225187
So29,SOKOL,22,G,1609136.5,72347.5,0.04496044928444542
So38,SOKOL,22,D,1424949.0,68936.5,0.048378222659196925
So38,SOKOL,22,G,1407416.5,63110.5,0.044841381353707306
So43,SOKOL,22,D,1720588.5,76850.5,0.04466524099167233
So43,SOKOL,22,G,1713629.0,73751.0,0.04303790377030267
So05,SOKOL,28,D,1148469.5,46946.5,0.04087744602708213
So05,SOKOL,28,G,1156385.5,38947.0,0.03367994496644934
So08,SOKOL,28,D,1214910.0,34216.5,0.02816381460355088
So08,SOKOL,28,G,1216692.0,24421.0,0.02007163686454748
So11,SOKOL,28,D,1252462.0,48268.0,0.03853849458107312
So11,SOKOL,28,G,1246470.0,44031.5,0.0353249576804897
So13,SOKOL,28,D,1176700.5,51470.5,0.043741376841430764
