IND,POP,TEMP,SIDE,Wing,Spot,Ratio
S36,SAPPORO,16,D,1899193.0,97008.0,0.051078537041785645
S36,SAPPORO,16,G,1908898.0,85861.5,0.04497961651172561
S37,SAPPORO,16,D,1873946.0,59685.0,0.031849903892641515
S37,SAPPORO,16,G,1883775.5,58211.5,0.03090150604464279
S40,SAPPORO,16,D,2006033.0,108143.5,0.053909133100003837
S40,SAPPORO,16,G,1976085.5,101008.5,0.05111545021710852
S42,SAPPORO,16,D,2131232.5,113447.0,0.05323070101455379
S42,SAPPORO,16,G,2127057.0,105166.5,0.0494422575417584
S44,SAPPORO,16,D,2007425.0,86270.5,0.04297570270371247
S44,SAPPORO,16,G,1996541.5,82477.5,0.0413101856385154
S05,SAPPORO,22,D,1598301.5,78531.0,0.04913403384780656
S05,SAPPORO,22,G,1617807.0,78794.5,0.048704511724822555
S07,SAPPORO,22,D,1454892.5,63821.5,0.04386681490213194
S08,SAPPORO,22,D,1566870.5,77279.0,0.04932060435115729
S08,SAPPORO,22,G,1581086.5,76988.5,0.048693414307186864
S17,SAPPORO,22,D,1452854.5,76916.5,0.052941640060997164
S17,SAPPORO,22,G,1472591.5,73537.0,0.04993713463645553
S20,SAPPORO,22,D,1562854.0,79088.0,0.050604854964059344
S20,SAPPORO,22,G,1552831.0,68553.0,0.04414710937635841
S24,SAPPORO,22,D,1522158.0,66577.5,0.043738889129774965
S24,SAPPORO,22,G,1557289.5,83294.5,0.05348684364724735
S28,SAPPORO,22,D,1634298.0,92294.0,0.05647317686248163
S29,SAPPORO,22,D,1612500.0,70868.0,0.043949147286821706
S29,SAPPORO,22,G,1602562.5,71340.0,0.04451620451620451
S33,SAPPORO,22,D,1606492.0,78185.5,0.04866846520244109
S33,SAPPORO,22,G,1605669.5,84873.5,0.052858636226197235
S35,SAPPORO,22,D,1536404.5,71134.0,0.04629900524243453
S35,SAPPORO,22,G,1523090.0,64040.5,0.042046431924574384
S36,SAPPORO,22,D,1729254.0,76198.0,0.0440640877511343
S36,SAPPORO,22,G,1737276.5,81238.0,0.04676169855518106
S40,SAPPORO,22,D,1519576.5,67202.5,0.04422449281099043
S40,SAPPORO,22,G,1528877.5,63389.5,0.041461464375007154
S42,SAPPORO,22,D,1628300.0,83349.0,0.05118774181661856
S42,SAPPORO,22,G,1621350.0,82841.0,0.05109384155179326
S44,SAPPORO,22,D,1712059.5,55283.5,0.0322906417679993
S44,SAPPORO,22,G,1701700.5,64788.5,0.0380727983567026
S05,SAPPORO,28,D,1195004.0,57605.0,0.04820485956532363
S05,SAPPORO,28,G,1209134.0,48562.5,0.040163042309619944
S06,SAPPORO,28,D,1125483.5,65247.5,0.05797286232983424
S06,SAPPORO,28,G,1131997.5,57407.0,0.050713009525197715
S08,SAPPORO,28,D,1097393.5,41203.0,0.03754624025019284
S08,SAPPORO,28,G,1101304.5,29430.5,0.026723308585409396
S14,SAPPORO,28,D,1182401.0,63473.5,0.053681872731839705
S14,SAPPORO,28,G,1201159.5,54981.5,0.0457736878407905
S17,SAPPORO,28,D,1020691.5,50764.5,0.049735399971489916
S17,SAPPORO,28,G,1030828.0,47067.0,0.0456594116574249
S20,SAPPORO,28,D,1177348.0,46233.5,0.039269188039560095
S20,SAPPORO,28,G,1157777.0,54688.0,0.04723534843065633
S24,SAPPORO,28,D,1251999.0,45092.0,0.036016003207670295
S24,SAPPORO,28,G,1247839.5,44297.0,0.03549895639623525
S28,SAPPORO,28,D,1217242.0,68234.5,0.05605664280397817
S28,SAPPORO,28,G,1232497.5,58855.5,0.04775303803861671
S29,SAPPORO,28,D,1171289.5,56081.5,0.04788013552584566
