M02G_Gen,2098,820,2143,1222
M02D_Gen,523,597,493,1008
M01G_Gen,2322,1052,2346,1519
M01D_Gen,433,646,308,1093
M16G_Gen,1989,1125,1949,1552
M16D_Gen,481,1114,481,1537
M15G_Gen,2321,1114,2289,1536
M15D_Gen,551,984,513,1410
M13G_Gen,2078,774,2114,1176
M13D_Gen,297,969,271,1387
M12G_Gen,2212,785,2267,1197
M12D_Gen,453,1053,409,1464
M11G_Gen,2250,929,2302,1369
M11D_Gen,433,775,336,1203
M10G_Gen,1948,870,1990,1267
M10D_Gen,582,894,553,1287
M09G_Gen,2030,1198,2020,1618
M09D_Gen,423,960,389,1377
M08G_Gen,2103,1030,2030,1452
M08D_Gen,504,1173,626,1571
M07G_Gen,2213,1066,2152,1485
M07D_Gen,332,886,293,1305
M06G_Gen,2136,1144,2072,1493
M06D_Gen,554,869,522,1230
M05G_Gen,2148,828,2159,1275
M05D_Gen,510,1036,488,1483
M04G_Gen,1960,871,2003,1243
M04D_Gen,819,797,806,1169
M03G_Gen,2179,869,2185,1299
M03D_Gen,386,895,367,1318
