M02G_Ita,2098,821,2198,1229
M02D_Ita,443,823,327,1208
M01G_Ita,2216,885,2236,1324
M15G_Ita,2201,1032,2185,1472
M15D_Ita,392,766,328,1197
M13G_Ita,2394,1148,2350,1586
M13D_Ita,288,915,216,1331
M12G_Ita,2332,908,2376,1352
M12D_Ita,365,998,363,1433
M11G_Ita,2211,914,2213,1359
M11D_Ita,303,976,264,1428
M10G_Ita,2202,867,2222,1316
M10D_Ita,136,926,116,1378
M09G_Ita,2222,828,2253,1278
M09D_Ita,266,797,201,1241
M08G_Ita,2273,1069,2264,1480
M08D_Ita,418,1069,411,1481
M07G_Ita,2168,1008,2125,1415
M07D_Ita,420,772,341,1176
M06G_Ita,2143,1349,2060,1782
M05G_Ita,2352,849,2400,1315
M05D_Ita,185,849,119,1314
M04G_Ita,2424,1107,2396,1605
M04D_Ita,145,1163,157,1666
M03G_Ita,2312,830,2372,1252
M03D_Ita,361,825,272,1239
