M17G_Sok,2230,871,2294,1233
M17D_Sok,566,1010,500,1377
M16G_Sok,2187,895,2203,1300
M16D_Sok,386,801,353,1204
M15G_Sok,2256,1388,2095,1772
M15D_Sok,468,1092,454,1540
M14G_Sok,1938,1141,1854,1532
M14D_Sok,591,895,565,1297
M13G_Sok,2277,934,2291,1392
M12G_Sok,2333,877,2349,1313
M12D_Sok,415,1113,456,1554
M11G_Sok,2179,996,2176,1419
M11D_Sok,335,773,301,1193
M10G_Sok,2194,944,2213,1346
M10D_Sok,488,919,438,1289
M09G_Sok,2339,808,2404,1286
M09D_Sok,246,983,197,1464
M08G_Sok,2108,991,2116,1368
M08D_Sok,622,824,601,1207
M07D_Sok,534,810,514,1216
M06D_Sok,451,760,396,1184
M05G_Sok,2218,844,2213,1301
M05D_Sok,468,1174,514,1631
M04G_Sok,1998,902,2003,1311
M04D_Sok,448,902,397,1305
M03G_Sok,2079,1308,1973,1699
M03D_Sok,319,1058,330,1483
M02G_Sok,2386,1087,2383,1501
M01G_Sok,2269,941,2295,1390
M01D_Sok,304,872,238,1327
M31G_Sok,2367,1047,2374,1506
M30G_Sok,2047,1166,2039,1568
M30D_Sok,482,905,433,1291
M29G_Sok,2035,1071,2030,1492
M29D_Sok,498,932,493,1345
M28G_Sok,2238,757,2312,1161
M28D_Sok,462,1005,449,1415
M27G_Sok,2193,755,2328,1163
M27D_Sok,263,896,195,1318
M26D_Sok,287,835,224,1307
M25G_Sok,2306,918,2325,1389
M25D_Sok,217,959,191,1427
M23D_Sok,595,562,452,933
M21G_Sok,1817,1284,1704,1640
M21D_Sok,466,781,419,1138
M19G_Sok,2267,1077,2241,1507
M19D_Sok,281,1071,207,1489
M18D_Sok,608,791,536,1171
