M22G_Sap,2040,818,2062,1231
M22D_Sap,508,1048,461,1469
M20G_Sap,1957,878,1966,1289
M20D_Sap,595,943,551,1350
M19D_Sap,390,911,352,1373
M18G_Sap,2215,726,2299,1155
M18D_Sap,428,867,342,1303
M17G_Sap,2092,997,2049,1436
M16G_Sap,2309,1054,2291,1508
M16D_Sap,453,922,417,1365
M14G_Sap,2161,707,2237,1155
M14D_Sap,477,869,354,1313
M13D_Sap,342,1135,407,1569
M12G_Sap,2266,1067,2247,1543
M12D_Sap,356,800,292,1265
M11G_Sap,2273,1071,2226,1501
M11D_Sap,466,888,467,1336
M10G_Sap,2231,973,2242,1415
M10D_Sap,399,906,295,1342
M09D_Sap,367,980,339,1421
M08G_Sap,2238,1042,2165,1500
M08D_Sap,249,876,217,1350
M06G_Sap,1990,1021,1987,1446
M05G_Sap,2133,1033,2098,1489
M05D_Sap,420,799,349,1236
M04G_Sap,2264,1000,2244,1446
M03G_Sap,2232,847,2274,1282
M03D_Sap,362,976,345,1362
M02G_Sap,2208,936,2225,1386
M02D_Sap,406,855,314,1306
M01D_Sap,242,904,214,1351
M31G_Sap,2118,753,2153,1211
M31D_Sap,364,647,327,1114
M30G_Sap,2331,824,2366,1272
M30D_Sap,355,999,328,1457
M29G_Sap,2265,998,2283,1434
M29D_Sap,347,980,343,1429
M28G_Sap,2216,885,2255,1319
M28D_Sap,406,821,317,1249
M27D_Sap,542,743,433,1135
M25G_Sap,2156,899,2244,1349
M25D_Sap,467,919,420,1373
M24G_Sap,2128,763,2140,1218
M24D_Sap,348,1089,398,1549
M23G_Sap,2192,922,2226,1366
