M15G_Shi,2235,1105,2222,1516
M15D_Shi,345,1038,332,1444
M14D_Shi,617,877,564,1263
M13G_Shi,2140,1088,2138,1489
M13D_Shi,485,956,491,1362
M12G_Shi,2137,1086,2149,1493
M12D_Shi,585,843,457,1241
M11G_Shi,2263,1138,2217,1550
M11D_Shi,486,834,455,1244
M10G_Shi,1899,1065,1949,1434
M10D_Shi,649,955,579,1328
M09G_Shi,1952,1021,1922,1403
M09D_Shi,512,1128,422,1493
M08G_Shi,1997,795,2143,1184
M08D_Shi,626,1110,585,1519
M07G_Shi,2198,968,2242,1363
M07D_Shi,545,1012,474,1410
M06D_Shi,479,873,413,1278
M05G_Shi,2094,1058,2099,1448
M05D_Shi,382,1061,312,1475
M04G_Shi,1956,1051,1926,1450
M04D_Shi,644,1036,552,1420
M03G_Shi,2067,1019,2083,1429
M03D_Shi,384,914,329,1319
M02G_Shi,2142,1135,2135,1516
M02D_Shi,566,1046,530,1423
M01G_Shi,1980,1017,2046,1429
M01D_Shi,519,997,427,1413
