M03G_Wis,2106,1072,2116,1493
M03D_Wis,289,1051,220,1459
M02G_Wis,2070,1245,2030,1651
M02D_Wis,435,1155,508,1559
M01G_Wis,2291,896,2295,1362
M23G_Wis,1906,705,1974,1056
M23D_Wis,839,497,636,790
M22G_Wis,2211,874,2217,1285
M22D_Wis,420,820,344,1227
M21G_Wis,2044,1096,2017,1504
M21D_Wis,517,947,490,1351
M20G_Wis,1916,533,2106,908
M20D_Wis,294,1177,193,1578
M19G_Wis,2198,788,2295,1221
M19D_Wis,416,712,224,1113
M18G_Wis,2031,758,2115,1157
M18D_Wis,557,505,365,881
M17G_Wis,2254,651,2326,1017
M17D_Wis,593,680,449,1067
M16G_Wis,2084,1138,2046,1574
M15G_Wis,2293,787,2371,1219
M15D_Wis,426,892,309,1316
M05G_Wis,2170,905,2206,1317
M05D_Wis,622,793,516,1154
M04D_Wis,379,553,299,1002
