M08D_Lan,744,1028,707,1355
M07G_Lan,2038,1004,2032,1389
M07D_Lan,612,1089,561,1475
M06G_Lan,2075,912,2077,1295
M06D_Lan,617,1031,574,1413
M05G_Lan,2056,1016,2066,1357
M05D_Lan,668,974,556,1298
M04G_Lan,1860,1034,1793,1409
M04D_Lan,610,1123,572,1511
M03G_Lan,1918,968,1873,1299
M03D_Lan,484,941,425,1262
M02G_Lan,1930,1072,1892,1456
M02D_Lan,716,1035,679,1423
M01G_Lan,2048,1281,1982,1630
M01D_Lan,589,1028,519,1380
M15G_Lan,2145,765,2179,1132
M15D_Lan,739,963,665,1319
M14G_Lan,1882,921,1916,1249
M14D_Lan,821,948,686,1232
M13G_Lan,2263,1052,2277,1396
M13D_Lan,532,817,475,1147
M12G_Lan,2195,791,2272,1153
M12D_Lan,526,997,476,1359
M11G_Lan,1942,1087,1944,1440
M11D_Lan,500,948,468,1309
M10G_Lan,2234,803,2329,1207
M10D_Lan,663,854,546,1241
M09G_Lan,2272,926,2247,1361
M09D_Lan,468,925,470,1350
M08G_Lan,1961,1072,1929,1394
