M11D_Wat,379,926,390,1325
M10D_Wat,272,922,239,1324
M09G_Wat,2103,811,2130,1244
M09D_Wat,503,1286,580,1708
M08D_Wat,327,956,286,1360
M06G_Wat,2089,1252,2083,1554
M06D_Wat,434,904,320,1312
M05G_Wat,1906,1082,1833,1500
M05D_Wat,342,1212,262,1617
M04D_Wat,489,872,358,1262
M03G_Wat,2105,824,2196,1232
M02G_Wat,1931,1089,1903,1524
M02D_Wat,471,1003,356,1412
M01G_Wat,2296,911,2377,1336
M01D_Wat,363,681,193,1081
M31G_Wat,2082,1006,2065,1432
M31D_Wat,654,1084,645,1507
M29G_Wat,2201,1050,2218,1484
M29D_Wat,399,1080,447,1517
M28G_Wat,2174,1138,2113,1569
M28D_Wat,372,965,386,1395
M27G_Wat,2043,1071,2056,1482
M27D_Wat,372,850,369,1250
M25D_Wat,548,1001,436,1355
M24D_Wat,451,999,429,1393
M23G_Wat,2301,1168,2270,1572
M23D_Wat,260,961,337,1362
M22G_Wat,2253,787,2266,1220
M22D_Wat,275,946,267,1382
M21G_Wat,2182,1109,2210,1545
M20G_Wat,2413,1057,2391,1499
M20D_Wat,364,814,275,1242
M19G_Wat,2116,964,2115,1392
M19D_Wat,339,1098,359,1523
M18G_Wat,2197,964,2188,1366
M18D_Wat,382,941,343,1336
M14G_Wat,2232,926,2313,1338
M14D_Wat,641,727,584,1138
