M10G_BRE,2032,1005,2154,1397
M10D_BRE,508,744,407,1143
M09G_BRE,2023,956,2125,1358
M09D_BRE,464,915,482,1327
M06D_BRE,359,1069,346,1441
M04G_BRE,2137,967,2209,1384
M04D_BRE,357,1135,352,1553
M03D_BRE,357,667,337,1088
M30G_BRE,2326,963,2369,1367
M30D_BRE,607,994,649,1402
M29G_BRE,2142,736,2199,1152
M25D_BRE,301,1040,295,1501
M24G_BRE,2274,983,2314,1398
M24D_BRE,448,994,527,1415
M23D_BRE,454,967,451,1398
M22G_BRE,2068,1075,2068,1431
M22D_BRE,422,841,350,1218
M21G_BRE,2144,854,2146,1247
M21D_BRE,406,785,351,1219
M15G_BRE,1924,465,2076,837
M11G_BRE,2348,797,2401,1204
